ticker,exchange,name,product_type,size,price_tick,long_margin_rate,short_margin_rate,max_market_order_volume,min_market_order_volume,max_limit_order_volume,min_limit_order_volume,delivery_year,delivery_month
sc2309,INE,原油2309,Futures,1000,0.1,0.16999999999999998,0.16999999999999998,30,1,500,1,2023,9
sc2403,INE,原油2403,Futures,1000,0.1,0.16999999999999998,0.16999999999999998,30,1,500,1,2024,3
sc2312,INE,原油2312,Futures,1000,0.1,0.16999999999999998,0.16999999999999998,30,1,500,1,2023,12
sc2406,INE,原油2406,Futures,1000,0.1,0.16999999999999998,0.16999999999999998,30,1,500,1,2024,6
bu2312,SHFE,bu2312,Futures,10,1.0,0.16999999999999998,0.16999999999999998,30,1,500,1,2023,12
sc2412,INE,sc2412,Futures,1000,0.1,0.16999999999999998,0.16999999999999998,30,1,500,1,2024,12
sc2409,INE,sc2409,Futures,1000,0.1,0.16999999999999998,0.16999999999999998,30,1,500,1,2024,9
bu2309,SHFE,bu2309,Futures,10,1.0,0.16999999999999998,0.16999999999999998,30,1,500,1,2023,9
sc2503,INE,sc2503,Futures,1000,0.1,0.16999999999999998,0.16999999999999998,30,1,500,1,2025,3
RI309,CZCE,早籼9月,Futures,20,1.0,0.25,0.25,0,0,1000,1,2023,9
bu2403,SHFE,bu2403,Futures,10,1.0,0.16999999999999998,0.16999999999999998,30,1,500,1,2024,3
au2308,SHFE,au2308,Futures,1000,0.02,0.13999999999999999,0.13999999999999999,30,1,500,1,2023,8
bc2309,INE,bc2309,Futures,5,10.0,0.16,0.16,30,1,500,1,2023,9
bu2406,SHFE,bu2406,Futures,10,1.0,0.16999999999999998,0.16999999999999998,30,1,500,1,2024,6
v2308,DCE,聚氯乙烯2308,Futures,5,1.0,0.18,0.18,0,0,1000,1,2023,8
ZC308,CZCE,煤8月,Futures,100,0.2,0.2,0.2,0,0,50,1,2023,8
sc2506,INE,sc2506,Futures,1000,0.1,0.16999999999999998,0.16999999999999998,30,1,500,1,2025,6
y2308,DCE,豆油2308,Futures,10,2.0,0.13999999999999999,0.13999999999999999,0,0,1000,1,2023,8
CY308,CZCE,棉纱8月,Futures,5,5.0,0.25,0.25,0,0,1000,1,2023,8
FG308,CZCE,玻璃8月,Futures,20,1.0,0.16999999999999998,0.16999999999999998,0,0,1000,1,2023,8
MA308,CZCE,甲醇8月,Futures,10,1.0,0.16,0.16,0,0,1000,1,2023,8
PF308,CZCE,短纤8月,Futures,5,2.0,0.15,0.15,0,0,1000,1,2023,8
RM308,CZCE,菜粕8月,Futures,10,1.0,0.13999999999999999,0.13999999999999999,0,0,1000,1,2023,8
RS308,CZCE,菜籽8月,Futures,10,1.0,0.26,0.26,0,0,1000,1,2023,8
SA308,CZCE,纯碱8月,Futures,20,1.0,0.16,0.16,0,0,1000,1,2023,8
SF308,CZCE,硅铁8月,Futures,5,2.0,0.2,0.2,0,0,1000,1,2023,8
SM308,CZCE,锰硅8月,Futures,5,2.0,0.2,0.2,0,0,1000,1,2023,8
TA308,CZCE,PTA8月,Futures,5,2.0,0.13999999999999999,0.13999999999999999,0,0,1000,1,2023,8
UR308,CZCE,尿素8月,Futures,20,1.0,0.13,0.13,0,0,1000,1,2023,8
b2308,DCE,豆二2308,Futures,10,1.0,0.15,0.15,0,0,1000,1,2023,8
bb2308,DCE,胶合板2308,Futures,500,0.05,0.45,0.45,0,0,1000,1,2023,8
fb2308,DCE,纤维板2308,Futures,10,0.5,0.25,0.25,0,0,1000,1,2023,8
i2308,DCE,铁矿石2308,Futures,100,0.5,0.19,0.19,0,0,1000,1,2023,8
j2308,DCE,焦炭2308,Futures,100,0.5,0.26,0.26,0,0,500,1,2023,8
jm2308,DCE,焦煤2308,Futures,60,0.5,0.26,0.26,0,0,1000,1,2023,8
l2308,DCE,聚乙烯2308,Futures,5,1.0,0.18,0.18,0,0,1000,1,2023,8
m2308,DCE,豆粕2308,Futures,10,1.0,0.13999999999999999,0.13999999999999999,0,0,1000,1,2023,8
